Date,Description,Amount,Balance
10/17/2023 02:05PM,JSA 5 3004 SVC71,10.00,974.01
10/17/2023 12:05PM,Panther Grocery 74,-3.69,964.01
10/17/2023 08:56AM,Panther Dining 70 WS6,-8.50,967.70
10/16/2023 06:46PM,Panther Grocery 74,-7.67,976.20
10/16/2023 06:23PM,Panther Grocery 74,-2.69,983.87
10/16/2023 05:54PM,Panther Grocery 74,-5.19,986.56
10/16/2023 12:22PM,Panther Grocery 74,-5.19,991.75
10/16/2023 10:04AM,Panther Grocery 74,-3.54,996.94
10/15/2023 09:13PM,Rat Main Line 83,-5.79,1000.48
10/15/2023 05:25PM,Panther Grocery 74,-5.68,1006.27
10/15/2023 01:30PM,Panther Grocery 74,-6.28,1011.95
10/15/2023 09:46AM,Panther Grocery 74,-3.54,1018.23
10/14/2023 05:22PM,Panther Grocery 74,-4.79,1021.77
10/14/2023 11:45AM,Panther Dining 70 WS6,-9.50,1026.56
10/13/2023 10:56PM,Rat Main Line 83,-3.99,1036.06
10/13/2023 09:20PM,UGRYD 5900 Vending,-2.45,1040.05
10/13/2023 05:28PM,Panther Grocery 74,-5.68,1042.50
10/13/2023 12:54PM,Panther Grocery 74,-5.19,1048.18
10/13/2023 08:35AM,Panther Grocery 74,-3.54,1053.37
10/12/2023 06:29PM,Panther Grocery 74,-5.68,1056.91
10/12/2023 03:21PM,Panther Grocery 74,-1.98,1062.59
10/12/2023 11:37AM,Panther Grocery 74,-0.99,1064.57
10/12/2023 11:37AM,Panther Grocery 74,-4.29,1065.56
10/12/2023 09:10AM,Panther Grocery 74,-4.58,1069.85
10/11/2023 05:33PM,Panther Grocery 74,-6.97,1074.43
10/11/2023 10:04AM,Panther Grocery 74,-3.54,1081.40
10/10/2023 05:18PM,Panther Dining 70 WS6,-10.50,1084.94
10/10/2023 12:37PM,Panther Grocery 74,-3.69,1095.44
10/08/2023 10:39AM,Panther Dining 70 WS6,-8.50,1099.13
10/07/2023 04:58PM,Panther Dining 70 WS6,-10.50,1107.63
10/07/2023 11:20AM,Panther Dining 70 WS6,-9.50,1118.13
10/06/2023 08:41PM,UGRYD 5900 Vending,-2.45,1127.63
10/06/2023 08:40PM,UGRYD 5900 Vending,-2.45,1130.08
10/06/2023 05:23PM,Panther Grocery 74,-5.68,1132.53
10/06/2023 12:09PM,Panther Grocery 74,-3.69,1138.21
10/06/2023 08:34AM,Panther Grocery 74,-3.29,1141.90
10/05/2023 11:12AM,Center Court 76,-7.29,1145.19
10/05/2023 09:05AM,Panther Grocery 74,-3.54,1152.48
10/04/2023 07:10PM,Panther Dining 70 WS6,-10.50,1156.02
10/04/2023 12:33PM,Panther Grocery 74,-4.29,1166.52
10/04/2023 08:31AM,Panther Grocery 74,-4.58,1170.81
10/03/2023 09:24PM,Rat Main Line 83,-16.28,1175.39
10/03/2023 12:06PM,Panther Grocery 74,-3.69,1191.67
10/03/2023 09:00AM,Panther Grocery 74,-3.54,1195.36
10/02/2023 06:51PM,Panther Grocery 74,-2.69,1198.90
10/02/2023 06:39PM,Panther Grocery 74,-4.79,1201.59
10/02/2023 01:24PM,Panther Grocery 74,-4.29,1206.38
10/02/2023 08:32AM,Panther Grocery 74,-3.29,1210.67
10/01/2023 10:27PM,UGRYD 5900 Vending,-2.55,1213.96
10/01/2023 07:35PM,Panther Grocery 74,-5.68,1216.51
